25: Ground truth-dog, Test result A-deer, Test result B-deer
8237: Ground truth-dog, Test result A-ship, Test result B-ship
8242: Ground truth-cat, Test result A-airplane, Test result B-airplane
8246: Ground truth-cat, Test result A-dog, Test result B-dog
8269: Ground truth-dog, Test result A-bird, Test result B-bird
8277: Ground truth-truck, Test result A-airplane, Test result B-airplane
8278: Ground truth-deer, Test result A-horse, Test result B-horse
8282: Ground truth-cat, Test result A-dog, Test result B-dog
8287: Ground truth-horse, Test result A-bird, Test result B-bird
8290: Ground truth-dog, Test result A-horse, Test result B-horse
8292: Ground truth-frog, Test result A-horse, Test result B-deer
8296: Ground truth-cat, Test result A-airplane, Test result B-airplane
8297: Ground truth-dog, Test result A-cat, Test result B-cat
8301: Ground truth-dog, Test result A-cat, Test result B-cat
8302: Ground truth-dog, Test result A-bird, Test result B-cat
8305: Ground truth-automobile, Test result A-truck, Test result B-truck
8306: Ground truth-deer, Test result A-cat, Test result B-cat
8327: Ground truth-cat, Test result A-dog, Test result B-dog
8332: Ground truth-cat, Test result A-bird, Test result B-frog
8339: Ground truth-cat, Test result A-frog, Test result B-frog
8352: Ground truth-airplane, Test result A-bird, Test result B-bird
8353: Ground truth-dog, Test result A-frog, Test result B-frog
8358: Ground truth-airplane, Test result A-ship, Test result B-frog
8371: Ground truth-deer, Test result A-frog, Test result B-frog
8373: Ground truth-automobile, Test result A-cat, Test result B-cat
8387: Ground truth-cat, Test result A-dog, Test result B-truck
8398: Ground truth-airplane, Test result A-bird, Test result B-bird
8406: Ground truth-airplane, Test result A-cat, Test result B-cat
8420: Ground truth-horse, Test result A-bird, Test result B-bird
8421: Ground truth-cat, Test result A-frog, Test result B-frog
8425: Ground truth-dog, Test result A-bird, Test result B-bird
8436: Ground truth-cat, Test result A-truck, Test result B-truck
8444: Ground truth-bird, Test result A-deer, Test result B-horse
8452: Ground truth-dog, Test result A-airplane, Test result B-deer
8457: Ground truth-deer, Test result A-horse, Test result B-horse
8458: Ground truth-bird, Test result A-cat, Test result B-deer
8464: Ground truth-automobile, Test result A-airplane, Test result B-cat
8466: Ground truth-truck, Test result A-automobile, Test result B-automobile
8470: Ground truth-dog, Test result A-automobile, Test result B-automobile
8472: Ground truth-airplane, Test result A-ship, Test result B-ship
8477: Ground truth-airplane, Test result A-deer, Test result B-deer
8488: Ground truth-deer, Test result A-bird, Test result B-cat
8492: Ground truth-cat, Test result A-dog, Test result B-bird
8493: Ground truth-airplane, Test result A-truck, Test result B-truck
8504: Ground truth-automobile, Test result A-truck, Test result B-truck
8515: Ground truth-horse, Test result A-bird, Test result B-bird
8519: Ground truth-truck, Test result A-airplane, Test result B-cat
8522: Ground truth-truck, Test result A-ship, Test result B-ship
8533: Ground truth-cat, Test result A-bird, Test result B-deer
8537: Ground truth-automobile, Test result A-truck, Test result B-truck
8542: Ground truth-ship, Test result A-automobile, Test result B-automobile
8547: Ground truth-ship, Test result A-airplane, Test result B-airplane
8550: Ground truth-automobile, Test result A-truck, Test result B-truck
8567: Ground truth-deer, Test result A-airplane, Test result B-airplane
8574: Ground truth-frog, Test result A-airplane, Test result B-airplane
8578: Ground truth-cat, Test result A-frog, Test result B-frog
8579: Ground truth-bird, Test result A-cat, Test result B-dog
8587: Ground truth-frog, Test result A-deer, Test result B-bird
8598: Ground truth-dog, Test result A-horse, Test result B-horse
8607: Ground truth-automobile, Test result A-deer, Test result B-cat
8611: Ground truth-bird, Test result A-cat, Test result B-deer
8614: Ground truth-frog, Test result A-cat, Test result B-cat
8617: Ground truth-cat, Test result A-frog, Test result B-frog
8618: Ground truth-cat, Test result A-deer, Test result B-deer
8619: Ground truth-dog, Test result A-cat, Test result B-deer
8625: Ground truth-truck, Test result A-horse, Test result B-horse
8627: Ground truth-automobile, Test result A-cat, Test result B-frog
8633: Ground truth-cat, Test result A-ship, Test result B-ship
8634: Ground truth-cat, Test result A-deer, Test result B-bird
8643: Ground truth-cat, Test result A-frog, Test result B-frog
8645: Ground truth-ship, Test result A-airplane, Test result B-cat
8660: Ground truth-deer, Test result A-automobile, Test result B-airplane
8663: Ground truth-cat, Test result A-dog, Test result B-dog
8669: Ground truth-cat, Test result A-frog, Test result B-ship
8672: Ground truth-deer, Test result A-frog, Test result B-cat
8682: Ground truth-bird, Test result A-frog, Test result B-frog
8700: Ground truth-deer, Test result A-dog, Test result B-cat
8709: Ground truth-horse, Test result A-cat, Test result B-cat
8717: Ground truth-bird, Test result A-deer, Test result B-cat
8721: Ground truth-bird, Test result A-airplane, Test result B-airplane
8724: Ground truth-dog, Test result A-horse, Test result B-horse
8728: Ground truth-truck, Test result A-airplane, Test result B-airplane
8729: Ground truth-frog, Test result A-dog, Test result B-dog
8733: Ground truth-ship, Test result A-automobile, Test result B-automobile
8742: Ground truth-automobile, Test result A-airplane, Test result B-airplane
8744: Ground truth-airplane, Test result A-ship, Test result B-ship
8750: Ground truth-dog, Test result A-cat, Test result B-cat
8754: Ground truth-deer, Test result A-horse, Test result B-horse
8758: Ground truth-ship, Test result A-deer, Test result B-airplane
8774: Ground truth-frog, Test result A-bird, Test result B-bird
8779: Ground truth-cat, Test result A-bird, Test result B-airplane
8784: Ground truth-frog, Test result A-dog, Test result B-dog
8795: Ground truth-dog, Test result A-cat, Test result B-cat
8804: Ground truth-cat, Test result A-horse, Test result B-bird
8805: Ground truth-frog, Test result A-bird, Test result B-bird
8807: Ground truth-cat, Test result A-bird, Test result B-bird
8810: Ground truth-ship, Test result A-cat, Test result B-cat
8816: Ground truth-cat, Test result A-bird, Test result B-bird
8818: Ground truth-deer, Test result A-dog, Test result B-dog
8825: Ground truth-cat, Test result A-frog, Test result B-deer
8826: Ground truth-airplane, Test result A-ship, Test result B-cat
8829: Ground truth-airplane, Test result A-cat, Test result B-frog
8841: Ground truth-bird, Test result A-horse, Test result B-deer
8842: Ground truth-bird, Test result A-airplane, Test result B-airplane
8856: Ground truth-deer, Test result A-cat, Test result B-cat
8860: Ground truth-bird, Test result A-deer, Test result B-deer
8864: Ground truth-dog, Test result A-horse, Test result B-deer
8873: Ground truth-ship, Test result A-bird, Test result B-airplane
8877: Ground truth-airplane, Test result A-truck, Test result B-truck
8878: Ground truth-truck, Test result A-frog, Test result B-automobile
8885: Ground truth-airplane, Test result A-horse, Test result B-horse
8902: Ground truth-dog, Test result A-horse, Test result B-horse
8912: Ground truth-deer, Test result A-truck, Test result B-truck
8913: Ground truth-deer, Test result A-dog, Test result B-dog
8924: Ground truth-frog, Test result A-bird, Test result B-cat
8933: Ground truth-frog, Test result A-bird, Test result B-bird
8934: Ground truth-frog, Test result A-cat, Test result B-cat
8940: Ground truth-ship, Test result A-bird, Test result B-bird
8944: Ground truth-horse, Test result A-cat, Test result B-cat
8968: Ground truth-bird, Test result A-deer, Test result B-deer
8973: Ground truth-truck, Test result A-cat, Test result B-cat
8978: Ground truth-airplane, Test result A-automobile, Test result B-cat
8982: Ground truth-horse, Test result A-deer, Test result B-deer
8984: Ground truth-cat, Test result A-dog, Test result B-dog
8986: Ground truth-truck, Test result A-airplane, Test result B-airplane
8994: Ground truth-airplane, Test result A-truck, Test result B-truck
8997: Ground truth-cat, Test result A-horse, Test result B-horse
8998: Ground truth-dog, Test result A-bird, Test result B-cat
9004: Ground truth-cat, Test result A-deer, Test result B-deer
9011: Ground truth-ship, Test result A-dog, Test result B-dog
9013: Ground truth-ship, Test result A-automobile, Test result B-automobile
9030: Ground truth-deer, Test result A-airplane, Test result B-airplane
9035: Ground truth-bird, Test result A-deer, Test result B-frog
9036: Ground truth-deer, Test result A-dog, Test result B-dog
9037: Ground truth-deer, Test result A-horse, Test result B-horse
9041: Ground truth-bird, Test result A-dog, Test result B-dog
9042: Ground truth-dog, Test result A-cat, Test result B-cat
9048: Ground truth-deer, Test result A-horse, Test result B-horse
9049: Ground truth-airplane, Test result A-truck, Test result B-truck
9060: Ground truth-bird, Test result A-cat, Test result B-cat
9066: Ground truth-airplane, Test result A-bird, Test result B-bird
9074: Ground truth-deer, Test result A-frog, Test result B-frog
9080: Ground truth-automobile, Test result A-ship, Test result B-ship
9085: Ground truth-dog, Test result A-cat, Test result B-cat
9089: Ground truth-bird, Test result A-cat, Test result B-cat
9100: Ground truth-truck, Test result A-automobile, Test result B-automobile
9108: Ground truth-dog, Test result A-horse, Test result B-ship
9122: Ground truth-cat, Test result A-dog, Test result B-dog
9127: Ground truth-automobile, Test result A-airplane, Test result B-airplane
9129: Ground truth-deer, Test result A-cat, Test result B-cat
9133: Ground truth-bird, Test result A-dog, Test result B-dog
9138: Ground truth-bird, Test result A-ship, Test result B-frog
9144: Ground truth-truck, Test result A-airplane, Test result B-dog
9146: Ground truth-automobile, Test result A-truck, Test result B-truck
9149: Ground truth-cat, Test result A-dog, Test result B-dog
9150: Ground truth-horse, Test result A-airplane, Test result B-airplane
9154: Ground truth-bird, Test result A-airplane, Test result B-cat
9161: Ground truth-dog, Test result A-cat, Test result B-cat
9170: Ground truth-automobile, Test result A-ship, Test result B-ship
9171: Ground truth-airplane, Test result A-truck, Test result B-truck
9177: Ground truth-ship, Test result A-airplane, Test result B-airplane
9191: Ground truth-cat, Test result A-deer, Test result B-horse
9205: Ground truth-truck, Test result A-ship, Test result B-ship
9210: Ground truth-truck, Test result A-automobile, Test result B-automobile
9216: Ground truth-dog, Test result A-cat, Test result B-cat
9217: Ground truth-frog, Test result A-deer, Test result B-deer
9226: Ground truth-dog, Test result A-cat, Test result B-cat
9231: Ground truth-bird, Test result A-airplane, Test result B-ship
9232: Ground truth-horse, Test result A-bird, Test result B-dog
9238: Ground truth-horse, Test result A-bird, Test result B-bird
9249: Ground truth-airplane, Test result A-ship, Test result B-ship
9251: Ground truth-cat, Test result A-bird, Test result B-bird
9254: Ground truth-bird, Test result A-airplane, Test result B-airplane
9255: Ground truth-horse, Test result A-dog, Test result B-cat
9259: Ground truth-truck, Test result A-airplane, Test result B-airplane
9268: Ground truth-bird, Test result A-frog, Test result B-frog
9270: Ground truth-dog, Test result A-frog, Test result B-deer
9275: Ground truth-ship, Test result A-airplane, Test result B-airplane
9282: Ground truth-cat, Test result A-bird, Test result B-airplane
9292: Ground truth-ship, Test result A-airplane, Test result B-airplane
9293: Ground truth-cat, Test result A-horse, Test result B-horse
9295: Ground truth-frog, Test result A-cat, Test result B-cat
9302: Ground truth-horse, Test result A-cat, Test result B-dog
9306: Ground truth-dog, Test result A-deer, Test result B-deer
9311: Ground truth-cat, Test result A-deer, Test result B-deer
9328: Ground truth-bird, Test result A-cat, Test result B-cat
9337: Ground truth-cat, Test result A-dog, Test result B-dog
9338: Ground truth-dog, Test result A-cat, Test result B-deer
9339: Ground truth-cat, Test result A-frog, Test result B-frog
9342: Ground truth-bird, Test result A-cat, Test result B-cat
9347: Ground truth-horse, Test result A-dog, Test result B-dog
9349: Ground truth-dog, Test result A-bird, Test result B-bird
9350: Ground truth-truck, Test result A-ship, Test result B-automobile
9353: Ground truth-automobile, Test result A-ship, Test result B-ship
9361: Ground truth-dog, Test result A-ship, Test result B-bird
9362: Ground truth-ship, Test result A-automobile, Test result B-automobile
9364: Ground truth-dog, Test result A-bird, Test result B-cat
9371: Ground truth-ship, Test result A-truck, Test result B-truck
9376: Ground truth-cat, Test result A-deer, Test result B-dog
9378: Ground truth-deer, Test result A-horse, Test result B-horse
9386: Ground truth-horse, Test result A-dog, Test result B-frog
9387: Ground truth-deer, Test result A-bird, Test result B-bird
9399: Ground truth-ship, Test result A-automobile, Test result B-automobile
9415: Ground truth-dog, Test result A-cat, Test result B-cat
9416: Ground truth-airplane, Test result A-deer, Test result B-automobile
9422: Ground truth-automobile, Test result A-truck, Test result B-truck
9427: Ground truth-bird, Test result A-automobile, Test result B-deer
9432: Ground truth-cat, Test result A-dog, Test result B-dog
9435: Ground truth-horse, Test result A-dog, Test result B-cat
9444: Ground truth-dog, Test result A-bird, Test result B-bird
9446: Ground truth-truck, Test result A-horse, Test result B-horse
9450: Ground truth-truck, Test result A-airplane, Test result B-automobile
9455: Ground truth-cat, Test result A-deer, Test result B-deer
9466: Ground truth-dog, Test result A-horse, Test result B-deer
9468: Ground truth-bird, Test result A-horse, Test result B-horse
9472: Ground truth-frog, Test result A-deer, Test result B-deer
9485: Ground truth-airplane, Test result A-horse, Test result B-truck
9498: Ground truth-cat, Test result A-frog, Test result B-bird
9499: Ground truth-cat, Test result A-frog, Test result B-frog
9504: Ground truth-bird, Test result A-frog, Test result B-deer
9507: Ground truth-deer, Test result A-bird, Test result B-bird
9514: Ground truth-frog, Test result A-cat, Test result B-cat
9523: Ground truth-cat, Test result A-bird, Test result B-bird
9528: Ground truth-frog, Test result A-cat, Test result B-cat
9530: Ground truth-truck, Test result A-horse, Test result B-deer
9536: Ground truth-automobile, Test result A-deer, Test result B-horse
9539: Ground truth-ship, Test result A-truck, Test result B-truck
9543: Ground truth-automobile, Test result A-truck, Test result B-truck
9549: Ground truth-bird, Test result A-cat, Test result B-frog
9561: Ground truth-truck, Test result A-cat, Test result B-cat
9564: Ground truth-automobile, Test result A-horse, Test result B-dog
9602: Ground truth-automobile, Test result A-dog, Test result B-dog
9607: Ground truth-frog, Test result A-cat, Test result B-cat
9617: Ground truth-dog, Test result A-deer, Test result B-deer
9621: Ground truth-deer, Test result A-horse, Test result B-horse
9623: Ground truth-dog, Test result A-horse, Test result B-horse
9636: Ground truth-horse, Test result A-deer, Test result B-deer
9642: Ground truth-frog, Test result A-cat, Test result B-cat
9644: Ground truth-truck, Test result A-airplane, Test result B-airplane
9647: Ground truth-dog, Test result A-cat, Test result B-truck
9658: Ground truth-dog, Test result A-cat, Test result B-cat
9679: Ground truth-cat, Test result A-dog, Test result B-bird
9695: Ground truth-automobile, Test result A-truck, Test result B-frog
9700: Ground truth-airplane, Test result A-truck, Test result B-truck
9702: Ground truth-deer, Test result A-horse, Test result B-horse
9705: Ground truth-bird, Test result A-dog, Test result B-dog
9710: Ground truth-airplane, Test result A-automobile, Test result B-truck
9711: Ground truth-horse, Test result A-cat, Test result B-cat
9717: Ground truth-horse, Test result A-dog, Test result B-deer
9721: Ground truth-ship, Test result A-automobile, Test result B-automobile
9728: Ground truth-frog, Test result A-bird, Test result B-ship
9730: Ground truth-deer, Test result A-cat, Test result B-cat
9735: Ground truth-deer, Test result A-horse, Test result B-cat
9741: Ground truth-cat, Test result A-frog, Test result B-frog
9744: Ground truth-truck, Test result A-automobile, Test result B-automobile
9745: Ground truth-automobile, Test result A-truck, Test result B-truck
9747: Ground truth-bird, Test result A-airplane, Test result B-airplane
9754: Ground truth-cat, Test result A-frog, Test result B-bird
9756: Ground truth-cat, Test result A-bird, Test result B-bird
9778: Ground truth-truck, Test result A-cat, Test result B-frog
9781: Ground truth-deer, Test result A-frog, Test result B-bird
9788: Ground truth-ship, Test result A-airplane, Test result B-airplane
9791: Ground truth-ship, Test result A-airplane, Test result B-airplane
9792: Ground truth-truck, Test result A-frog, Test result B-bird
9793: Ground truth-ship, Test result A-truck, Test result B-truck
9794: Ground truth-bird, Test result A-dog, Test result B-dog
9802: Ground truth-frog, Test result A-deer, Test result B-cat
9806: Ground truth-bird, Test result A-airplane, Test result B-airplane
9813: Ground truth-cat, Test result A-ship, Test result B-dog
9818: Ground truth-truck, Test result A-automobile, Test result B-frog
9820: Ground truth-cat, Test result A-dog, Test result B-dog
9824: Ground truth-dog, Test result A-cat, Test result B-bird
9828: Ground truth-deer, Test result A-bird, Test result B-bird
9832: Ground truth-bird, Test result A-airplane, Test result B-frog
9833: Ground truth-bird, Test result A-horse, Test result B-deer
9841: Ground truth-deer, Test result A-horse, Test result B-horse
9850: Ground truth-airplane, Test result A-bird, Test result B-bird
9851: Ground truth-horse, Test result A-deer, Test result B-deer
9854: Ground truth-dog, Test result A-frog, Test result B-frog
9858: Ground truth-airplane, Test result A-automobile, Test result B-automobile
9865: Ground truth-ship, Test result A-airplane, Test result B-airplane
9873: Ground truth-airplane, Test result A-ship, Test result B-ship
9878: Ground truth-frog, Test result A-bird, Test result B-bird
9880: Ground truth-horse, Test result A-dog, Test result B-cat
9892: Ground truth-bird, Test result A-horse, Test result B-cat
9902: Ground truth-cat, Test result A-automobile, Test result B-bird
9903: Ground truth-frog, Test result A-ship, Test result B-airplane
9919: Ground truth-dog, Test result A-horse, Test result B-cat
9924: Ground truth-horse, Test result A-truck, Test result B-dog
9925: Ground truth-deer, Test result A-ship, Test result B-airplane
9927: Ground truth-cat, Test result A-frog, Test result B-frog
9931: Ground truth-ship, Test result A-cat, Test result B-truck
9934: Ground truth-horse, Test result A-cat, Test result B-cat
9941: Ground truth-deer, Test result A-cat, Test result B-cat
9944: Ground truth-horse, Test result A-bird, Test result B-bird
9951: Ground truth-cat, Test result A-deer, Test result B-deer
9960: Ground truth-bird, Test result A-cat, Test result B-cat
9961: Ground truth-bird, Test result A-airplane, Test result B-airplane
9969: Ground truth-cat, Test result A-dog, Test result B-bird
9982: Ground truth-deer, Test result A-horse, Test result B-horse
9983: Ground truth-bird, Test result A-frog, Test result B-frog
9984: Ground truth-airplane, Test result A-automobile, Test result B-automobile
9986: Ground truth-dog, Test result A-cat, Test result B-cat
9990: Ground truth-bird, Test result A-deer, Test result B-deer
9994: Ground truth-dog, Test result A-cat, Test result B-cat
