7: Ground truth-automobile, Test result-airplane
8637: Ground truth-frog, Test result-deer
8638: Ground truth-deer, Test result-ship
8643: Ground truth-cat, Test result-frog
8645: Ground truth-ship, Test result-airplane
8660: Ground truth-deer, Test result-automobile
8661: Ground truth-horse, Test result-dog
8662: Ground truth-bird, Test result-airplane
8663: Ground truth-cat, Test result-dog
8669: Ground truth-cat, Test result-frog
8672: Ground truth-deer, Test result-frog
8678: Ground truth-cat, Test result-bird
8682: Ground truth-bird, Test result-frog
8685: Ground truth-bird, Test result-cat
8697: Ground truth-ship, Test result-truck
8699: Ground truth-frog, Test result-deer
8700: Ground truth-deer, Test result-dog
8701: Ground truth-cat, Test result-dog
8703: Ground truth-airplane, Test result-ship
8704: Ground truth-deer, Test result-frog
8709: Ground truth-horse, Test result-cat
8711: Ground truth-horse, Test result-deer
8714: Ground truth-bird, Test result-cat
8717: Ground truth-bird, Test result-deer
8721: Ground truth-bird, Test result-airplane
8722: Ground truth-frog, Test result-dog
8724: Ground truth-dog, Test result-horse
8728: Ground truth-truck, Test result-airplane
8729: Ground truth-frog, Test result-dog
8733: Ground truth-ship, Test result-automobile
8742: Ground truth-automobile, Test result-airplane
8743: Ground truth-truck, Test result-horse
8744: Ground truth-airplane, Test result-ship
8750: Ground truth-dog, Test result-cat
8754: Ground truth-deer, Test result-horse
8755: Ground truth-cat, Test result-frog
8758: Ground truth-ship, Test result-deer
8771: Ground truth-frog, Test result-cat
8774: Ground truth-frog, Test result-bird
8779: Ground truth-cat, Test result-bird
8781: Ground truth-deer, Test result-horse
8784: Ground truth-frog, Test result-dog
8789: Ground truth-dog, Test result-cat
8792: Ground truth-frog, Test result-deer
8795: Ground truth-dog, Test result-cat
8804: Ground truth-cat, Test result-horse
8805: Ground truth-frog, Test result-bird
8807: Ground truth-cat, Test result-bird
8810: Ground truth-ship, Test result-cat
8811: Ground truth-bird, Test result-dog
8814: Ground truth-automobile, Test result-truck
8816: Ground truth-cat, Test result-bird
8818: Ground truth-deer, Test result-dog
8825: Ground truth-cat, Test result-frog
8826: Ground truth-airplane, Test result-ship
8829: Ground truth-airplane, Test result-cat
8837: Ground truth-deer, Test result-bird
8841: Ground truth-bird, Test result-horse
8842: Ground truth-bird, Test result-airplane
8855: Ground truth-deer, Test result-ship
8856: Ground truth-deer, Test result-cat
8860: Ground truth-bird, Test result-deer
8864: Ground truth-dog, Test result-horse
8869: Ground truth-deer, Test result-horse
8873: Ground truth-ship, Test result-bird
8877: Ground truth-airplane, Test result-truck
8878: Ground truth-truck, Test result-frog
8885: Ground truth-airplane, Test result-horse
8899: Ground truth-horse, Test result-bird
8902: Ground truth-dog, Test result-horse
8907: Ground truth-deer, Test result-horse
8912: Ground truth-deer, Test result-truck
8913: Ground truth-deer, Test result-dog
8924: Ground truth-frog, Test result-bird
8929: Ground truth-deer, Test result-bird
8933: Ground truth-frog, Test result-bird
8934: Ground truth-frog, Test result-cat
8940: Ground truth-ship, Test result-bird
8941: Ground truth-frog, Test result-cat
8944: Ground truth-horse, Test result-cat
8956: Ground truth-automobile, Test result-ship
8958: Ground truth-horse, Test result-dog
8963: Ground truth-dog, Test result-cat
8968: Ground truth-bird, Test result-deer
8969: Ground truth-ship, Test result-frog
8973: Ground truth-truck, Test result-cat
8974: Ground truth-dog, Test result-cat
8978: Ground truth-airplane, Test result-automobile
8982: Ground truth-horse, Test result-deer
8984: Ground truth-cat, Test result-dog
8986: Ground truth-truck, Test result-airplane
8994: Ground truth-airplane, Test result-truck
8997: Ground truth-cat, Test result-horse
8998: Ground truth-dog, Test result-bird
9003: Ground truth-frog, Test result-bird
9004: Ground truth-cat, Test result-deer
9011: Ground truth-ship, Test result-dog
9012: Ground truth-bird, Test result-frog
9013: Ground truth-ship, Test result-automobile
9027: Ground truth-truck, Test result-airplane
9030: Ground truth-deer, Test result-airplane
9032: Ground truth-airplane, Test result-ship
9035: Ground truth-bird, Test result-deer
9036: Ground truth-deer, Test result-dog
9037: Ground truth-deer, Test result-horse
9039: Ground truth-bird, Test result-frog
9041: Ground truth-bird, Test result-dog
9042: Ground truth-dog, Test result-cat
9048: Ground truth-deer, Test result-horse
9049: Ground truth-airplane, Test result-truck
9051: Ground truth-dog, Test result-cat
9060: Ground truth-bird, Test result-cat
9066: Ground truth-airplane, Test result-bird
9072: Ground truth-horse, Test result-bird
9074: Ground truth-deer, Test result-frog
9079: Ground truth-deer, Test result-horse
9080: Ground truth-automobile, Test result-ship
9085: Ground truth-dog, Test result-cat
9088: Ground truth-cat, Test result-dog
9089: Ground truth-bird, Test result-cat
9094: Ground truth-cat, Test result-deer
9100: Ground truth-truck, Test result-automobile
9108: Ground truth-dog, Test result-horse
9114: Ground truth-automobile, Test result-airplane
9122: Ground truth-cat, Test result-dog
9127: Ground truth-automobile, Test result-airplane
9129: Ground truth-deer, Test result-cat
9133: Ground truth-bird, Test result-dog
9138: Ground truth-bird, Test result-ship
9144: Ground truth-truck, Test result-airplane
9146: Ground truth-automobile, Test result-truck
9149: Ground truth-cat, Test result-dog
9150: Ground truth-horse, Test result-airplane
9154: Ground truth-bird, Test result-airplane
9161: Ground truth-dog, Test result-cat
9170: Ground truth-automobile, Test result-ship
9171: Ground truth-airplane, Test result-truck
9177: Ground truth-ship, Test result-airplane
9191: Ground truth-cat, Test result-deer
9192: Ground truth-cat, Test result-deer
9205: Ground truth-truck, Test result-ship
9210: Ground truth-truck, Test result-automobile
9216: Ground truth-dog, Test result-cat
9217: Ground truth-frog, Test result-deer
9218: Ground truth-truck, Test result-airplane
9226: Ground truth-dog, Test result-cat
9231: Ground truth-bird, Test result-airplane
9232: Ground truth-horse, Test result-bird
9238: Ground truth-horse, Test result-bird
9249: Ground truth-airplane, Test result-ship
9251: Ground truth-cat, Test result-bird
9253: Ground truth-horse, Test result-deer
9254: Ground truth-bird, Test result-airplane
9255: Ground truth-horse, Test result-dog
9259: Ground truth-truck, Test result-airplane
9263: Ground truth-airplane, Test result-cat
9268: Ground truth-bird, Test result-frog
9270: Ground truth-dog, Test result-frog
9275: Ground truth-ship, Test result-airplane
9282: Ground truth-cat, Test result-bird
9289: Ground truth-ship, Test result-truck
9292: Ground truth-ship, Test result-airplane
9293: Ground truth-cat, Test result-horse
9295: Ground truth-frog, Test result-cat
9301: Ground truth-dog, Test result-cat
9302: Ground truth-horse, Test result-cat
9303: Ground truth-cat, Test result-deer
9304: Ground truth-truck, Test result-automobile
9306: Ground truth-dog, Test result-deer
9311: Ground truth-cat, Test result-deer
9318: Ground truth-frog, Test result-cat
9328: Ground truth-bird, Test result-cat
9332: Ground truth-horse, Test result-dog
9337: Ground truth-cat, Test result-dog
9338: Ground truth-dog, Test result-cat
9339: Ground truth-cat, Test result-frog
9342: Ground truth-bird, Test result-cat
9347: Ground truth-horse, Test result-dog
9349: Ground truth-dog, Test result-bird
9350: Ground truth-truck, Test result-ship
9353: Ground truth-automobile, Test result-ship
9354: Ground truth-dog, Test result-deer
9356: Ground truth-frog, Test result-cat
9359: Ground truth-bird, Test result-airplane
9361: Ground truth-dog, Test result-ship
9362: Ground truth-ship, Test result-automobile
9364: Ground truth-dog, Test result-bird
9367: Ground truth-bird, Test result-truck
9371: Ground truth-ship, Test result-truck
9376: Ground truth-cat, Test result-deer
9378: Ground truth-deer, Test result-horse
9381: Ground truth-dog, Test result-cat
9386: Ground truth-horse, Test result-dog
9387: Ground truth-deer, Test result-bird
9397: Ground truth-dog, Test result-bird
9398: Ground truth-bird, Test result-frog
9399: Ground truth-ship, Test result-automobile
9405: Ground truth-cat, Test result-dog
9407: Ground truth-dog, Test result-cat
9415: Ground truth-dog, Test result-cat
9416: Ground truth-airplane, Test result-deer
9418: Ground truth-deer, Test result-cat
9422: Ground truth-automobile, Test result-truck
9427: Ground truth-bird, Test result-automobile
9432: Ground truth-cat, Test result-dog
9435: Ground truth-horse, Test result-dog
9444: Ground truth-dog, Test result-bird
9446: Ground truth-truck, Test result-horse
9450: Ground truth-truck, Test result-airplane
9451: Ground truth-frog, Test result-cat
9455: Ground truth-cat, Test result-deer
9462: Ground truth-deer, Test result-frog
9463: Ground truth-bird, Test result-airplane
9466: Ground truth-dog, Test result-horse
9468: Ground truth-bird, Test result-horse
9472: Ground truth-frog, Test result-deer
9485: Ground truth-airplane, Test result-horse
9493: Ground truth-truck, Test result-automobile
9498: Ground truth-cat, Test result-frog
9499: Ground truth-cat, Test result-frog
9502: Ground truth-frog, Test result-bird
9504: Ground truth-bird, Test result-frog
9507: Ground truth-deer, Test result-bird
9508: Ground truth-airplane, Test result-automobile
9514: Ground truth-frog, Test result-cat
9515: Ground truth-dog, Test result-deer
9516: Ground truth-airplane, Test result-truck
9519: Ground truth-truck, Test result-automobile
9523: Ground truth-cat, Test result-bird
9528: Ground truth-frog, Test result-cat
9529: Ground truth-airplane, Test result-ship
9530: Ground truth-truck, Test result-horse
9536: Ground truth-automobile, Test result-deer
9539: Ground truth-ship, Test result-truck
9543: Ground truth-automobile, Test result-truck
9549: Ground truth-bird, Test result-cat
9554: Ground truth-horse, Test result-deer
9560: Ground truth-automobile, Test result-truck
9561: Ground truth-truck, Test result-cat
9564: Ground truth-automobile, Test result-horse
9584: Ground truth-truck, Test result-airplane
9587: Ground truth-dog, Test result-cat
9588: Ground truth-horse, Test result-cat
9591: Ground truth-airplane, Test result-ship
9602: Ground truth-automobile, Test result-dog
9607: Ground truth-frog, Test result-cat
9608: Ground truth-horse, Test result-deer
9610: Ground truth-automobile, Test result-frog
9617: Ground truth-dog, Test result-deer
9621: Ground truth-deer, Test result-horse
9623: Ground truth-dog, Test result-horse
9628: Ground truth-deer, Test result-dog
9636: Ground truth-horse, Test result-deer
9638: Ground truth-dog, Test result-frog
9642: Ground truth-frog, Test result-cat
9644: Ground truth-truck, Test result-airplane
9645: Ground truth-airplane, Test result-ship
9647: Ground truth-dog, Test result-cat
9648: Ground truth-cat, Test result-automobile
9657: Ground truth-airplane, Test result-ship
9658: Ground truth-dog, Test result-cat
9666: Ground truth-cat, Test result-dog
9674: Ground truth-truck, Test result-horse
9676: Ground truth-deer, Test result-horse
9677: Ground truth-cat, Test result-bird
9679: Ground truth-cat, Test result-dog
9690: Ground truth-truck, Test result-dog
9692: Ground truth-frog, Test result-bird
9694: Ground truth-frog, Test result-deer
9695: Ground truth-automobile, Test result-truck
9700: Ground truth-airplane, Test result-truck
9702: Ground truth-deer, Test result-horse
9705: Ground truth-bird, Test result-dog
9706: Ground truth-frog, Test result-deer
9707: Ground truth-truck, Test result-horse
9710: Ground truth-airplane, Test result-automobile
9711: Ground truth-horse, Test result-cat
9717: Ground truth-horse, Test result-dog
9721: Ground truth-ship, Test result-automobile
9728: Ground truth-frog, Test result-bird
9730: Ground truth-deer, Test result-cat
9735: Ground truth-deer, Test result-horse
9736: Ground truth-frog, Test result-airplane
9738: Ground truth-dog, Test result-cat
9741: Ground truth-cat, Test result-frog
9744: Ground truth-truck, Test result-automobile
9745: Ground truth-automobile, Test result-truck
9747: Ground truth-bird, Test result-airplane
9754: Ground truth-cat, Test result-frog
9756: Ground truth-cat, Test result-bird
9757: Ground truth-dog, Test result-truck
9765: Ground truth-bird, Test result-airplane
9768: Ground truth-bird, Test result-deer
9771: Ground truth-deer, Test result-bird
9778: Ground truth-truck, Test result-cat
9781: Ground truth-deer, Test result-frog
9786: Ground truth-ship, Test result-airplane
9788: Ground truth-ship, Test result-airplane
9791: Ground truth-ship, Test result-airplane
9792: Ground truth-truck, Test result-frog
9793: Ground truth-ship, Test result-truck
9794: Ground truth-bird, Test result-dog
9795: Ground truth-automobile, Test result-ship
9796: Ground truth-deer, Test result-dog
9802: Ground truth-frog, Test result-deer
9806: Ground truth-bird, Test result-airplane
9813: Ground truth-cat, Test result-ship
9818: Ground truth-truck, Test result-automobile
9820: Ground truth-cat, Test result-dog
9824: Ground truth-dog, Test result-cat
9828: Ground truth-deer, Test result-bird
9832: Ground truth-bird, Test result-airplane
9833: Ground truth-bird, Test result-horse
9840: Ground truth-cat, Test result-dog
9841: Ground truth-deer, Test result-horse
9842: Ground truth-airplane, Test result-ship
9843: Ground truth-frog, Test result-deer
9850: Ground truth-airplane, Test result-bird
9851: Ground truth-horse, Test result-deer
9854: Ground truth-dog, Test result-frog
9858: Ground truth-airplane, Test result-automobile
9859: Ground truth-deer, Test result-frog
9865: Ground truth-ship, Test result-airplane
9867: Ground truth-automobile, Test result-deer
9868: Ground truth-ship, Test result-airplane
9869: Ground truth-truck, Test result-automobile
9873: Ground truth-airplane, Test result-ship
9878: Ground truth-frog, Test result-bird
9880: Ground truth-horse, Test result-dog
9892: Ground truth-bird, Test result-horse
9902: Ground truth-cat, Test result-automobile
9903: Ground truth-frog, Test result-ship
9911: Ground truth-deer, Test result-horse
9919: Ground truth-dog, Test result-horse
9920: Ground truth-deer, Test result-cat
9924: Ground truth-horse, Test result-truck
9925: Ground truth-deer, Test result-ship
9927: Ground truth-cat, Test result-frog
9929: Ground truth-dog, Test result-bird
9931: Ground truth-ship, Test result-cat
9934: Ground truth-horse, Test result-cat
9941: Ground truth-deer, Test result-cat
9944: Ground truth-horse, Test result-bird
9949: Ground truth-ship, Test result-truck
9951: Ground truth-cat, Test result-deer
9960: Ground truth-bird, Test result-cat
9961: Ground truth-bird, Test result-airplane
9964: Ground truth-ship, Test result-airplane
9968: Ground truth-cat, Test result-deer
9969: Ground truth-cat, Test result-dog
9980: Ground truth-cat, Test result-dog
9982: Ground truth-deer, Test result-horse
9983: Ground truth-bird, Test result-frog
9984: Ground truth-airplane, Test result-automobile
9986: Ground truth-dog, Test result-cat
9987: Ground truth-ship, Test result-airplane
9990: Ground truth-bird, Test result-deer
9994: Ground truth-dog, Test result-cat
9996: Ground truth-ship, Test result-cat
9999: Ground truth-automobile, Test result-deer
