25: Ground truth-dog, Test result-deer
8807: Ground truth-cat, Test result-bird
8810: Ground truth-ship, Test result-cat
8812: Ground truth-automobile, Test result-cat
8816: Ground truth-cat, Test result-bird
8818: Ground truth-deer, Test result-dog
8824: Ground truth-deer, Test result-horse
8825: Ground truth-cat, Test result-deer
8826: Ground truth-airplane, Test result-cat
8829: Ground truth-airplane, Test result-frog
8841: Ground truth-bird, Test result-deer
8842: Ground truth-bird, Test result-airplane
8844: Ground truth-ship, Test result-cat
8849: Ground truth-cat, Test result-horse
8851: Ground truth-automobile, Test result-ship
8856: Ground truth-deer, Test result-cat
8860: Ground truth-bird, Test result-deer
8862: Ground truth-deer, Test result-cat
8864: Ground truth-dog, Test result-deer
8866: Ground truth-horse, Test result-deer
8873: Ground truth-ship, Test result-airplane
8877: Ground truth-airplane, Test result-truck
8878: Ground truth-truck, Test result-automobile
8885: Ground truth-airplane, Test result-horse
8893: Ground truth-ship, Test result-airplane
8902: Ground truth-dog, Test result-horse
8912: Ground truth-deer, Test result-truck
8913: Ground truth-deer, Test result-dog
8919: Ground truth-horse, Test result-airplane
8922: Ground truth-ship, Test result-airplane
8924: Ground truth-frog, Test result-cat
8933: Ground truth-frog, Test result-bird
8934: Ground truth-frog, Test result-cat
8940: Ground truth-ship, Test result-bird
8944: Ground truth-horse, Test result-cat
8945: Ground truth-deer, Test result-horse
8955: Ground truth-bird, Test result-deer
8968: Ground truth-bird, Test result-deer
8973: Ground truth-truck, Test result-cat
8978: Ground truth-airplane, Test result-cat
8982: Ground truth-horse, Test result-deer
8984: Ground truth-cat, Test result-dog
8986: Ground truth-truck, Test result-airplane
8994: Ground truth-airplane, Test result-truck
8997: Ground truth-cat, Test result-horse
8998: Ground truth-dog, Test result-cat
9004: Ground truth-cat, Test result-deer
9006: Ground truth-dog, Test result-cat
9011: Ground truth-ship, Test result-dog
9013: Ground truth-ship, Test result-automobile
9030: Ground truth-deer, Test result-airplane
9035: Ground truth-bird, Test result-frog
9036: Ground truth-deer, Test result-dog
9037: Ground truth-deer, Test result-horse
9040: Ground truth-bird, Test result-frog
9041: Ground truth-bird, Test result-dog
9042: Ground truth-dog, Test result-cat
9048: Ground truth-deer, Test result-horse
9049: Ground truth-airplane, Test result-truck
9054: Ground truth-dog, Test result-cat
9057: Ground truth-deer, Test result-horse
9060: Ground truth-bird, Test result-cat
9066: Ground truth-airplane, Test result-bird
9074: Ground truth-deer, Test result-frog
9080: Ground truth-automobile, Test result-ship
9085: Ground truth-dog, Test result-cat
9089: Ground truth-bird, Test result-cat
9091: Ground truth-bird, Test result-deer
9093: Ground truth-frog, Test result-bird
9100: Ground truth-truck, Test result-automobile
9104: Ground truth-horse, Test result-dog
9108: Ground truth-dog, Test result-ship
9115: Ground truth-ship, Test result-automobile
9121: Ground truth-cat, Test result-dog
9122: Ground truth-cat, Test result-dog
9127: Ground truth-automobile, Test result-airplane
9129: Ground truth-deer, Test result-cat
9132: Ground truth-cat, Test result-dog
9133: Ground truth-bird, Test result-dog
9134: Ground truth-truck, Test result-airplane
9138: Ground truth-bird, Test result-frog
9144: Ground truth-truck, Test result-dog
9146: Ground truth-automobile, Test result-truck
9149: Ground truth-cat, Test result-dog
9150: Ground truth-horse, Test result-airplane
9154: Ground truth-bird, Test result-cat
9161: Ground truth-dog, Test result-cat
9170: Ground truth-automobile, Test result-ship
9171: Ground truth-airplane, Test result-truck
9177: Ground truth-ship, Test result-airplane
9190: Ground truth-deer, Test result-airplane
9191: Ground truth-cat, Test result-horse
9205: Ground truth-truck, Test result-ship
9210: Ground truth-truck, Test result-automobile
9216: Ground truth-dog, Test result-cat
9217: Ground truth-frog, Test result-deer
9219: Ground truth-cat, Test result-bird
9224: Ground truth-automobile, Test result-truck
9226: Ground truth-dog, Test result-cat
9227: Ground truth-cat, Test result-deer
9228: Ground truth-automobile, Test result-truck
9230: Ground truth-automobile, Test result-cat
9231: Ground truth-bird, Test result-ship
9232: Ground truth-horse, Test result-dog
9238: Ground truth-horse, Test result-bird
9247: Ground truth-cat, Test result-frog
9249: Ground truth-airplane, Test result-ship
9251: Ground truth-cat, Test result-bird
9254: Ground truth-bird, Test result-airplane
9255: Ground truth-horse, Test result-cat
9256: Ground truth-cat, Test result-ship
9259: Ground truth-truck, Test result-airplane
9268: Ground truth-bird, Test result-frog
9270: Ground truth-dog, Test result-deer
9275: Ground truth-ship, Test result-airplane
9277: Ground truth-horse, Test result-deer
9282: Ground truth-cat, Test result-airplane
9292: Ground truth-ship, Test result-airplane
9293: Ground truth-cat, Test result-horse
9295: Ground truth-frog, Test result-cat
9297: Ground truth-ship, Test result-cat
9302: Ground truth-horse, Test result-dog
9306: Ground truth-dog, Test result-deer
9311: Ground truth-cat, Test result-deer
9320: Ground truth-cat, Test result-dog
9328: Ground truth-bird, Test result-cat
9337: Ground truth-cat, Test result-dog
9338: Ground truth-dog, Test result-deer
9339: Ground truth-cat, Test result-frog
9342: Ground truth-bird, Test result-cat
9347: Ground truth-horse, Test result-dog
9349: Ground truth-dog, Test result-bird
9350: Ground truth-truck, Test result-automobile
9351: Ground truth-frog, Test result-cat
9353: Ground truth-automobile, Test result-ship
9361: Ground truth-dog, Test result-bird
9362: Ground truth-ship, Test result-automobile
9364: Ground truth-dog, Test result-cat
9370: Ground truth-dog, Test result-deer
9371: Ground truth-ship, Test result-truck
9376: Ground truth-cat, Test result-dog
9378: Ground truth-deer, Test result-horse
9382: Ground truth-bird, Test result-cat
9386: Ground truth-horse, Test result-frog
9387: Ground truth-deer, Test result-bird
9393: Ground truth-airplane, Test result-frog
9399: Ground truth-ship, Test result-automobile
9415: Ground truth-dog, Test result-cat
9416: Ground truth-airplane, Test result-automobile
9422: Ground truth-automobile, Test result-truck
9427: Ground truth-bird, Test result-deer
9429: Ground truth-horse, Test result-bird
9430: Ground truth-deer, Test result-dog
9432: Ground truth-cat, Test result-dog
9435: Ground truth-horse, Test result-cat
9436: Ground truth-bird, Test result-horse
9438: Ground truth-cat, Test result-deer
9444: Ground truth-dog, Test result-bird
9446: Ground truth-truck, Test result-horse
9449: Ground truth-cat, Test result-airplane
9450: Ground truth-truck, Test result-automobile
9455: Ground truth-cat, Test result-deer
9464: Ground truth-truck, Test result-automobile
9465: Ground truth-deer, Test result-horse
9466: Ground truth-dog, Test result-deer
9468: Ground truth-bird, Test result-horse
9472: Ground truth-frog, Test result-deer
9485: Ground truth-airplane, Test result-truck
9487: Ground truth-deer, Test result-bird
9498: Ground truth-cat, Test result-bird
9499: Ground truth-cat, Test result-frog
9504: Ground truth-bird, Test result-deer
9507: Ground truth-deer, Test result-bird
9510: Ground truth-deer, Test result-horse
9514: Ground truth-frog, Test result-cat
9523: Ground truth-cat, Test result-bird
9528: Ground truth-frog, Test result-cat
9530: Ground truth-truck, Test result-deer
9536: Ground truth-automobile, Test result-horse
9539: Ground truth-ship, Test result-truck
9543: Ground truth-automobile, Test result-truck
9549: Ground truth-bird, Test result-frog
9552: Ground truth-dog, Test result-airplane
9558: Ground truth-dog, Test result-bird
9561: Ground truth-truck, Test result-cat
9564: Ground truth-automobile, Test result-dog
9568: Ground truth-horse, Test result-deer
9580: Ground truth-bird, Test result-frog
9602: Ground truth-automobile, Test result-dog
9607: Ground truth-frog, Test result-cat
9617: Ground truth-dog, Test result-deer
9621: Ground truth-deer, Test result-horse
9623: Ground truth-dog, Test result-horse
9636: Ground truth-horse, Test result-deer
9641: Ground truth-dog, Test result-horse
9642: Ground truth-frog, Test result-cat
9644: Ground truth-truck, Test result-airplane
9647: Ground truth-dog, Test result-truck
9650: Ground truth-dog, Test result-cat
9653: Ground truth-dog, Test result-cat
9655: Ground truth-dog, Test result-horse
9658: Ground truth-dog, Test result-cat
9679: Ground truth-cat, Test result-bird
9695: Ground truth-automobile, Test result-frog
9700: Ground truth-airplane, Test result-truck
9702: Ground truth-deer, Test result-horse
9705: Ground truth-bird, Test result-dog
9710: Ground truth-airplane, Test result-truck
9711: Ground truth-horse, Test result-cat
9716: Ground truth-deer, Test result-cat
9717: Ground truth-horse, Test result-deer
9721: Ground truth-ship, Test result-automobile
9723: Ground truth-cat, Test result-automobile
9728: Ground truth-frog, Test result-ship
9730: Ground truth-deer, Test result-cat
9731: Ground truth-frog, Test result-cat
9735: Ground truth-deer, Test result-cat
9741: Ground truth-cat, Test result-frog
9744: Ground truth-truck, Test result-automobile
9745: Ground truth-automobile, Test result-truck
9747: Ground truth-bird, Test result-airplane
9750: Ground truth-airplane, Test result-ship
9754: Ground truth-cat, Test result-bird
9756: Ground truth-cat, Test result-bird
9775: Ground truth-dog, Test result-cat
9778: Ground truth-truck, Test result-frog
9781: Ground truth-deer, Test result-bird
9782: Ground truth-cat, Test result-dog
9787: Ground truth-frog, Test result-automobile
9788: Ground truth-ship, Test result-airplane
9791: Ground truth-ship, Test result-airplane
9792: Ground truth-truck, Test result-bird
9793: Ground truth-ship, Test result-truck
9794: Ground truth-bird, Test result-dog
9802: Ground truth-frog, Test result-cat
9805: Ground truth-dog, Test result-cat
9806: Ground truth-bird, Test result-airplane
9813: Ground truth-cat, Test result-dog
9818: Ground truth-truck, Test result-frog
9820: Ground truth-cat, Test result-dog
9821: Ground truth-airplane, Test result-truck
9824: Ground truth-dog, Test result-bird
9826: Ground truth-bird, Test result-deer
9828: Ground truth-deer, Test result-bird
9832: Ground truth-bird, Test result-frog
9833: Ground truth-bird, Test result-deer
9835: Ground truth-ship, Test result-airplane
9841: Ground truth-deer, Test result-horse
9850: Ground truth-airplane, Test result-bird
9851: Ground truth-horse, Test result-deer
9854: Ground truth-dog, Test result-frog
9858: Ground truth-airplane, Test result-automobile
9860: Ground truth-frog, Test result-bird
9865: Ground truth-ship, Test result-airplane
9873: Ground truth-airplane, Test result-ship
9874: Ground truth-bird, Test result-truck
9878: Ground truth-frog, Test result-bird
9880: Ground truth-horse, Test result-cat
9889: Ground truth-airplane, Test result-cat
9892: Ground truth-bird, Test result-cat
9893: Ground truth-dog, Test result-horse
9895: Ground truth-automobile, Test result-ship
9902: Ground truth-cat, Test result-bird
9903: Ground truth-frog, Test result-airplane
9912: Ground truth-deer, Test result-horse
9919: Ground truth-dog, Test result-cat
9922: Ground truth-airplane, Test result-ship
9924: Ground truth-horse, Test result-dog
9925: Ground truth-deer, Test result-airplane
9927: Ground truth-cat, Test result-frog
9931: Ground truth-ship, Test result-truck
9934: Ground truth-horse, Test result-cat
9941: Ground truth-deer, Test result-cat
9943: Ground truth-horse, Test result-truck
9944: Ground truth-horse, Test result-bird
9950: Ground truth-cat, Test result-bird
9951: Ground truth-cat, Test result-deer
9958: Ground truth-airplane, Test result-automobile
9960: Ground truth-bird, Test result-cat
9961: Ground truth-bird, Test result-airplane
9963: Ground truth-deer, Test result-horse
9969: Ground truth-cat, Test result-bird
9975: Ground truth-automobile, Test result-truck
9982: Ground truth-deer, Test result-horse
9983: Ground truth-bird, Test result-frog
9984: Ground truth-airplane, Test result-automobile
9986: Ground truth-dog, Test result-cat
9990: Ground truth-bird, Test result-deer
9994: Ground truth-dog, Test result-cat
9997: Ground truth-cat, Test result-dog
